ID	Predicted_Category
2	Politics
10	Technology
25	Technology
28	Business
29	Business
33	Business
34	Business
37	Business
39	Technology
40	Politics
44	Business
56	Business
66	Technology
75	Business
77	Business
85	Business
89	Business
92	Technology
107	Technology
112	Technology
115	Technology
139	Business
140	Football
152	Business
156	Technology
162	Technology
167	Business
170	Business
171	Technology
173	Business
182	Technology
186	Football
193	Technology
196	Business
210	Business
218	Football
224	Business
227	Business
230	Business
232	Football
247	Football
262	Football
273	Football
276	Politics
279	Football
284	Business
286	Football
287	Business
305	Business
316	Business
337	Politics
342	Business
349	Film
357	Film
363	Film
367	Politics
368	Film
374	Politics
377	Film
385	Film
395	Film
401	Film
417	Film
422	Film
427	Film
433	Business
438	Business
469	Technology
470	Politics
473	Politics
481	Business
486	Business
490	Business
495	Technology
510	Politics
519	Politics
523	Politics
533	Business
536	Politics
538	Politics
545	Business
550	Business
551	Business
557	Business
558	Business
561	Business
565	Politics
575	Business
583	Business
589	Business
592	Business
593	Business
594	Business
598	Business
599	Politics
607	Business
614	Business
626	Business
627	Politics
634	Technology
