ID	Predicted_Category
2	Politics
10	Film
25	Film
28	Business
29	Politics
33	Business
34	Film
37	Business
39	Film
40	Business
44	Business
56	Business
66	Business
75	Business
77	Business
85	Business
89	Business
92	Technology
107	Technology
112	Technology
115	Technology
139	Business
140	Business
152	Business
156	Film
162	Technology
167	Business
170	Business
171	Film
173	Politics
182	Technology
186	Football
193	Technology
196	Business
210	Business
218	Football
224	Politics
227	Film
230	Business
232	Football
247	Football
262	Football
273	Football
276	Politics
279	Football
284	Business
286	Football
287	Business
305	Business
316	Business
337	Politics
342	Business
349	Film
357	Film
363	Film
367	Film
368	Film
374	Technology
377	Film
385	Film
395	Film
401	Film
417	Film
422	Film
427	Film
433	Film
438	Business
469	Film
470	Film
473	Business
481	Business
486	Film
490	Business
495	Technology
510	Politics
519	Politics
523	Politics
533	Business
538	Politics
545	Business
550	Business
551	Business
557	Business
558	Business
561	Politics
565	Politics
575	Business
583	Business
589	Business
592	Business
593	Business
594	Business
598	Business
599	Politics
607	Business
614	Business
626	Business
627	Politics
634	Business
636	Business
639	Business
641	Film
643	Business
650	Business
655	Politics
662	Technology
666	Technology
667	Business
673	Technology
678	Technology
693	Technology
